     F1IV-V+F1IV-V    : 2
     M2e+cont         : 2
     M6SIb-II         : 2
     C4,5(R8)         : 2
     A9-G0            : 2
     C6,3e(Ne)        : 2
     G2IV+G2-5:V      : 2
     G4III-IV         : 2
     F8Ib-G0Ib        : 2
     K2III            : 2
     pec(UG)+G1       : 2
     G+G              : 2
     wd+dM            : 2
     F7-G0I           : 2
     F2ea             : 2
     WC8+O8-O9III-IV  : 2
     B-Ae             : 2
     A2e+F5III        : 2
     A5-A7mIV-V       : 2
     K2IV-Ve          : 2
     G4-G5            : 2
     A2II             : 2
     C5II             : 2
     G0III            : 2
     B2Ib-II:p        : 2
     B1Ibe            : 2
     G5IVe            : 2
     A3V-IV           : 2
     M6S              : 2
     F0V+K0           : 2
     F3pIb-F6         : 2
     C6,4e(Nb)        : 2
     K0V+K0V          : 2
     B8V+B8V          : 2
     DBp              : 2
     M3.5IIIa         : 2
     M8e:             : 2
     M1-M8            : 2
     M6-M9            : 2
     M5:III           : 2
     C3,5J-C4,4-5(R8) : 2
     B0.5IVe          : 2
     F6Vn             : 2
     B1IV:pnne        : 2
     M7/8 III         : 2
     M2e-M7:e         : 2
     F5-G1Ib          : 2
     B1:V:nn          : 2
     M3/4             : 2
     A5-F5            : 2
     F0-F9            : 2
     B9.5V+A0.5       : 2
     C(R0)            : 2
     M5e-M8e(Tc:)     : 2
     M6-M7(S7,5e:)    : 2
     K1-K5:e          : 2
     M3IIIe-M5e       : 2
     F1-F6            : 2
     A0Vp(SiSr)       : 2
     M4IIIe-M7e       : 2
     C7,2(N0)(Tc)     : 2
     K3Ve+K7Ve        : 2
     M0-M3III         : 2
     Fpe              : 2
     M2e-M8e          : 2
     F2-F5            : 2
     G1IIIe           : 2
     F7-G1Ib          : 2
     M2.5-M3Ve        : 2
     F0+F5            : 2
     F4IIIp           : 2
     M5Ve             : 2
     B0.5Iape         : 2
     A0p(Cr-Sr-Si-Eu) : 2
     B2Vp(He-Sr)      : 2
     M2.5epIab+B      : 2
     M2epIa-Iab+B8:Ve : 2
     M1Ia             : 2
     K6-M1.5Ve        : 2
     B5:ne            : 2
     K1:ea            : 2
     B1III-B2IIIeaV   : 2
     M3eIa-M4Ia       : 2
     K0III+K0III      : 2
     B5e              : 2
     F5-F6            : 2
     F4:              : 2
     F6IIp            : 2
     M5e-M10e(S6,2e)  : 2
     C5+,3(N)         : 2
     eq               : 2
     G5-K0            : 2
     A0p(Si-Cr-Eu)    : 2
     M0II             : 2
     B3eq             : 2
     M5-6SIIe         : 2
     F8e-KIa-0+B1V    : 2
     S6,4             : 2
     B0p+B1Vp         : 2
     B2.5IVe          : 2
     C6,4(N3)         : 2
     F4IV-V           : 2
     G1:              : 2
     A2pSrCrEu        : 2
     A0pe             : 2
     B8Vne            : 2
     pec(UG)+G8IVn    : 2
     F1.6             : 2
     C8,2e(Ne)        : 2
     G0+K2            : 2
     G4+G9            : 2
     M1III-M3III      : 2
     M3.6Ve           : 2
     K0IV/V           : 2
     A2IV+A2IV        : 2
     C8,2JLi(N3e)     : 2
     G5IV/Vea+K1IVea  : 2
     F1-F3            : 2
     K0(V)            : 2
     B7pHewSi         : 2
     F8-G0Ia          : 2
     pec(UG)+M4.5V    : 2
     QSO              : 2
     B1:V:pe          : 2
     F4-F5            : 2
     F5Ib-F7          : 2
     B2IV-Ve          : 2
     C(N:)            : 2
     M4:III           : 2
     A3IV+F2V         : 2
     F6-8eq           : 2
     Kep-Me           : 2
     B3II:            : 2
     C6,3(N3/R8)      : 2
     F4-F7            : 2
     M1IIIe           : 2
     B3Ib             : 2
     F8Vn             : 2
     M9-M10           : 2
     S6.5,2e          : 2
     M0.5Iab          : 2
     C6,3(N6)         : 2
     F9-G8            : 2
     B3V+A1II         : 2
     O9IV(n)+B1:V:    : 2
